trait_name,trait_def,ontology,term_id,term_label,term_definition,similarity,above_threshold
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,OBA,OBA:2041951,level of heat shock protein beta-6 in blood serum,The amount of a heat shock protein beta-6 when measured in blood serum.,0.2649,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,OBA,OBA:2050696,level of heat shock factor 2-binding protein in blood,The amount of a heat shock factor 2-binding protein when measured in blood.,0.2988,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,OBA,OBA:2051470,level of heat shock factor-binding protein 1 in blood,The amount of a heat shock factor-binding protein 1 when measured in blood.,0.2856,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,PATO,PATO:0000165,time,A quality in which events occur in sequence.,0.089,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,PATO,PATO:0001756,heat conductivity,A conductivity quality inhering in a bearer by virtue of the bearer's disposition to spontaneous transfer of thermal energy from a region of higher temperature to a region of lower temperature.,0.2535,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.,0.3027,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.,0.2889,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.,0.2737,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,OBA,OBA:2040442,level of heat shock protein 105 kDa in blood serum,The amount of a heat shock protein 105 kDa when measured in blood serum.,0.2956,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,OBA,OBA:2041950,level of heat shock protein beta-3 in blood serum,The amount of a heat shock protein beta-3 when measured in blood serum.,0.2813,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,OBA,OBA:2041951,level of heat shock protein beta-6 in blood serum,The amount of a heat shock protein beta-6 when measured in blood serum.,0.2686,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,OBA,OBA:2050696,level of heat shock factor 2-binding protein in blood,The amount of a heat shock factor 2-binding protein when measured in blood.,0.3056,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,OBA,OBA:2051470,level of heat shock factor-binding protein 1 in blood,The amount of a heat shock factor-binding protein 1 when measured in blood.,0.2865,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,PATO,PATO:0000165,time,A quality in which events occur in sequence.,0.099,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,PATO,PATO:0001756,heat conductivity,A conductivity quality inhering in a bearer by virtue of the bearer's disposition to spontaneous transfer of thermal energy from a region of higher temperature to a region of lower temperature.,0.2444,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.,0.2923,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.,0.2822,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.,0.256,FALSE
consumption rate,mean relative consumption rate,OBA,OBA:1000654,saccharin consumption quality,The quality of a saccharin consumption.,0.3019,FALSE
consumption rate,mean relative consumption rate,OBA,OBA:1000679,cocaine consumption quality,The quality of a cocaine consumption.,0.3038,FALSE
consumption rate,mean relative consumption rate,OBA,OBA:1000690,food consumption quality,The quality of a food consumption.,0.3978,FALSE
consumption rate,mean relative consumption rate,OBA,OBA:1000840,alcohol consumption quality,The quality of a alcohol consumption.,0.3386,FALSE
consumption rate,mean relative consumption rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.,0.2759,FALSE
consumption rate,mean relative consumption rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.,0.2434,FALSE
consumption rate,mean relative consumption rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.,0.4775,FALSE
consumption rate,mean relative consumption rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.,0.4495,FALSE
consumption rate,mean relative consumption rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.,0.2633,FALSE
consumption rate,mean relative consumption rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.,0.1001,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),OBA,OBA:0002215,growth rate trait,The rate of a growth.,0.4865,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),OBA,OBA:2045230,growth rate attribute,The growth rate of a growth.,0.49370000000000003,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),OBA,OBA:0002148,growth hormone secretion rate,The rate of a growth hormone secretion.,0.3373,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),OBA,OBA:0002011,micturition rate,The rate of a micturition.,0.184,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.,0.3592,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),PATO,PATO:0040045,population growth rate,The rate or speed of the change in in number of a population.,0.3474,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),PATO,PATO:0040046,single organismal growth rate,The rate or speed of the change in size of an individual entity.,0.3552,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.,0.2458,FALSE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),PATO,PATO:0000911,decreased rate,A rate which is relatively low.,0.2311,FALSE
weight loss,proportionate weight loss in relation to temperature and population,OBA,OBA:0003744,regulation of water loss via skin rate,regulation of water loss via skin (GO_0033561) was obsoleted,0.2286,FALSE
weight loss,proportionate weight loss in relation to temperature and population,OBA,OBA:VT0004257,placenta mass,The mass of a placenta.,0.2107,FALSE
weight loss,proportionate weight loss in relation to temperature and population,OBA,OBA:2051506,level of loss of heterozygosity 11 chromosomal region 2 gene A protein in blood,The amount of a loss of heterozygosity 11 chromosomal region 2 gene A protein when measured in blood.,0.2287,FALSE
weight loss,proportionate weight loss in relation to temperature and population,PATO,PATO:0000128,weight,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism.",0.3271,FALSE
